Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,10694796,19542982,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,25518074,30774621,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969
"Population, total",SP.POP.TOTL,American Samoa,ASM,47818,58230,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035
"Population, total",SP.POP.TOTL,Andorra,AND,53569,66097,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034
"Population, total",SP.POP.TOTL,Angola,AGO,11828638,16394062,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,63328,75055,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219
"Population, total",SP.POP.TOTL,Argentina,ARG,32637657,37070774,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
"Population, total",SP.POP.TOTL,Armenia,ARM,3556539,3168523,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974
"Population, total",SP.POP.TOTL,Aruba,ABW,65712,89101,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537
"Population, total",SP.POP.TOTL,Australia,AUS,17065128,19028802,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,270679,325014,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906
"Population, total",SP.POP.TOTL,Bahrain,BHR,517418,711442,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265
"Population, total",SP.POP.TOTL,Bangladesh,BGD,107147651,129193327,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251
"Population, total",SP.POP.TOTL,Barbados,BRB,258868,264657,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,9979610,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952
"Population, total",SP.POP.TOTL,Belize,BLZ,182589,240406,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031
"Population, total",SP.POP.TOTL,Benin,BEN,5133419,6998023,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867
"Population, total",SP.POP.TOTL,Bhutan,BTN,558442,587207,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486
"Population, total",SP.POP.TOTL,Bolivia,BOL,7096194,8592656,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4494310,4179350,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943
"Population, total",SP.POP.TOTL,Botswana,BWA,1341474,1726985,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423
"Population, total",SP.POP.TOTL,Brazil,BRA,150706446,175873720,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,15617,20104,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,261928,333926,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,9131361,11882888,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683
"Population, total",SP.POP.TOTL,Burundi,BDI,5483793,6307659,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,364563,458251,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925
"Population, total",SP.POP.TOTL,Cambodia,KHM,8910808,12118841,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023
"Population, total",SP.POP.TOTL,Cameroon,CMR,11430520,15091594,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628
"Population, total",SP.POP.TOTL,Canada,CAN,27691138,30685730,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38037204,38246108
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,26027,39658,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2809221,3759170,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154
"Population, total",SP.POP.TOTL,Chad,TCD,5827069,8259137,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140601,145306,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683
"Population, total",SP.POP.TOTL,Chile,CHL,13342868,15351799,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,32601393,39215135,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562
"Population, total",SP.POP.TOTL,Comoros,COM,431119,536758,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,35987541,48616317,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2385435,3134030,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3158253,3979193,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,11910540,16799670,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4468302,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3899000
"Population, total",SP.POP.TOTL,Cuba,CUB,10626680,11105791,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369
"Population, total",SP.POP.TOTL,Cyprus,CYP,788500,948237,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188
"Population, total",SP.POP.TOTL,Czechia,CZE,10333355,10255063,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733
"Population, total",SP.POP.TOTL,Djibouti,DJI,577173,742033,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557
"Population, total",SP.POP.TOTL,Dominica,DMA,69481,68346,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7129004,8540791,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873
"Population, total",SP.POP.TOTL,Ecuador,ECU,10449837,12626507,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,57214630,71371371,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178
"Population, total",SP.POP.TOTL,El Salvador,SLV,5367179,5958482,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,465549,684977,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466
"Population, total",SP.POP.TOTL,Eritrea,ERI,2149960,2392880,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932
"Population, total",SP.POP.TOTL,Eswatini,SWZ,854011,1030496,1111444,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271
"Population, total",SP.POP.TOTL,Ethiopia,ETH,47878073,67031867,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47479,45660,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889
"Population, total",SP.POP.TOTL,Fiji,FJI,780430,832509,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017
"Population, total",SP.POP.TOTL,France,FRA,58044701,60921384,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67749632
"Population, total",SP.POP.TOTL,French Polynesia,PYF,211089,250927,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032
"Population, total",SP.POP.TOTL,Gabon,GAB,983028,1272935,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1040616,1437539,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4077131,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078
"Population, total",SP.POP.TOTL,Ghana,GHA,15446982,19665502,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031
"Population, total",SP.POP.TOTL,Gibraltar,GIB,27317,27741,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10641221
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56810,56483,56295,56114,56186,56171,56023,56225,56367,56653
"Population, total",SP.POP.TOTL,Grenada,GRD,99047,107432,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610
"Population, total",SP.POP.TOTL,Guam,GUM,138263,160188,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534
"Population, total",SP.POP.TOTL,Guatemala,GTM,9050115,11589761,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746
"Population, total",SP.POP.TOTL,Guinea,GIN,6354145,8336967,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,973551,1230849,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721
"Population, total",SP.POP.TOTL,Guyana,GUY,747116,759051,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567
"Population, total",SP.POP.TOTL,Haiti,HTI,6925331,8360225,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569
"Population, total",SP.POP.TOTL,Honduras,HND,5053234,6656725,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,6665000,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520
"Population, total",SP.POP.TOTL,India,IND,870452165,1059633675,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842
"Population, total",SP.POP.TOTL,Indonesia,IDN,182159874,214072421,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,55793629,65544383,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432
"Population, total",SP.POP.TOTL,Iraq,IRQ,17658381,24628858,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033165
"Population, total",SP.POP.TOTL,Isle of Man,IMN,68865,75562,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,6289000,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9364000
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59109668
"Population, total",SP.POP.TOTL,Jamaica,JAM,2392030,2612205,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695
"Population, total",SP.POP.TOTL,Japan,JPN,123478000,126843000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593
"Population, total",SP.POP.TOTL,Jordan,JOR,3480587,5056174,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988
"Population, total",SP.POP.TOTL,Kenya,KEN,23162269,30851606,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614
"Population, total",SP.POP.TOTL,Kiribati,KIR,75124,88826,111618,113311,114985,116707,118513,120362,122261,124241,126463,128874
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,20799523,23367059,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876
"Population, total",SP.POP.TOTL,Kosovo,XKX,1862000,1700000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038
"Population, total",SP.POP.TOTL,Kuwait,KWT,1674938,1934901,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4898400,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6691800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4314443,5430853,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490
"Population, total",SP.POP.TOTL,Lebanon,LBN,3593700,4320642,5178337,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631
"Population, total",SP.POP.TOTL,Lesotho,LSO,1798997,1998630,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454
"Population, total",SP.POP.TOTL,Liberia,LBR,2209731,2895224,4331740,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416
"Population, total",SP.POP.TOTL,Libya,LBY,4236983,5154790,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28765,33026,36505,36806,37096,37355,37609,37889,38181,38482,38756,39039
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,350227,431896,582766,593374,604167,615239,626688,638609,650991,663653,676283,686607
"Population, total",SP.POP.TOTL,Madagascar,MDG,11882762,16216431,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653
"Population, total",SP.POP.TOTL,Malawi,MWI,9539665,11229387,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742
"Population, total",SP.POP.TOTL,Malaysia,MYS,17517054,22945150,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874
"Population, total",SP.POP.TOTL,Maldives,MDV,224957,282507,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457
"Population, total",SP.POP.TOTL,Mali,MLI,8945026,11239101,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983
"Population, total",SP.POP.TOTL,Malta,MLT,354170,390087,420028,425967,434558,445053,455356,467999,484630,504062,515332,518536
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,46047,54224,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050
"Population, total",SP.POP.TOTL,Mauritania,MRT,2006027,2695003,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1255882,1258653,1260934,1262605,1263473,1264613,1265303,1265711,1265740,1266060
"Population, total",SP.POP.TOTL,Mexico,MEX,81720428,97873442,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,98603,111709,108232,108609,109024,109462,109925,110430,110929,111379,112106,113131
"Population, total",SP.POP.TOTL,Moldova,MDA,2965978,2924668,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2615199
"Population, total",SP.POP.TOTL,Monaco,MCO,30329,32465,34700,35425,36110,36760,37071,37044,37029,37034,36922,36686
"Population, total",SP.POP.TOTL,Mongolia,MNG,2161433,2450979,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,620601,621207,621810,622159,622303,622373,622227,622028,621306,619211
"Population, total",SP.POP.TOTL,Morocco,MAR,24570814,28554415,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13303459,17768505,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072
"Population, total",SP.POP.TOTL,Myanmar,MMR,40099553,45538332,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084
"Population, total",SP.POP.TOTL,Namibia,NAM,1369011,1819141,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151
"Population, total",SP.POP.TOTL,Nauru,NRU,9598,10377,10444,10694,10940,11185,11437,11682,11924,12132,12315,12511
"Population, total",SP.POP.TOTL,Nepal,NPL,19616530,24559500,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044
